drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
universal donor derived cd33 car-nk,...,...,0
universal donor natural killer cells,...,...,0
universal-donor cd38ko cd33car-nk cells,...,...,0
unknown,unknown,Unknown,0
unsealed source radiotherapy,n/a,N/A,0
uomol,viscum album,viscum album,0
up-front allogeneic hematopoietic stem cell transplantation,...,...,0
up-front chemotherapy,...,...,0
upnon,flurbiprofen,flurbiprofen,0
uracil mixt. with ft (4:1),trastuzumab-qyyp,trastuzumab-qyyp,0
uracil mixt. with tegafur (4:1),trastuzumab-qyyp,trastuzumab-qyyp,0
uranin,fluorescein sodium,fluorescein sodium,0
uranine wss,fluorescein sodium,fluorescein sodium,0
uranine yellow,fluorescein sodium,fluorescein sodium,0
