nct_id,drug_name_in_trial,resolves_to_bucket
NCT02926196,MSB0010718C,n/a
NCT02926833,cyclophosphamide,cyclophosphamide
NCT02928224,irinotecan,irinotecan
NCT02932956,cyclophosphamide,cyclophosphamide
NCT02933320,rituximab escalation phase,trastuzumab-qyyp
NCT02933320,rituximab expansion phase,trastuzumab-qyyp
NCT02934529,Cetuximab wkly,trastuzumab-qyyp
NCT02934529,irinotecan,irinotecan
NCT02937571,carfilzomib,velcade thalidomide dexamethasone
NCT02937571,dexamethasone,dexamethasone
NCT02937662,cyclophosphamide,cyclophosphamide
NCT02938273,avelumab,trastuzumab-qyyp
NCT02938442,cyclophosphamide,cyclophosphamide
NCT02938624,Pembrolizumab I.V single dose,pembrolizumab and berahyaluronidase alfa-pmph
NCT02938624,Pembrolizumab Twice interval 21d,pembrolizumab and berahyaluronidase alfa-pmph
NCT02938624,Pembrolizumab single dose,pembrolizumab and berahyaluronidase alfa-pmph
NCT02938624,Pembrolizumab twice interval 21 days,pembrolizumab and berahyaluronidase alfa-pmph
NCT02939183,dexamethasone,dexamethasone
NCT02941445,metformin,metformin
NCT02942290,venetoclax,trastuzumab-qyyp
NCT02946294,Bupivacaine 0.25%,bupivacaine liposome
NCT02948283,metformin,metformin
NCT02949284,gonadorelin,gonadorelin
NCT02949700,metformin,metformin
NCT02950051,cyclophosphamide,cyclophosphamide
NCT02950051,venetoclax,trastuzumab-qyyp
NCT02950259,cyclophosphamide,cyclophosphamide
NCT02951819,cyclophosphamide,cyclophosphamide
NCT02951819,dexamethasone,dexamethasone
NCT02953340,cyclophosphamide,cyclophosphamide
NCT02954055,cyclophosphamide,cyclophosphamide
NCT02954055,vinorelbine,tlc178
NCT02956382,venetoclax,trastuzumab-qyyp
NCT02957968,cyclophosphamide,cyclophosphamide
NCT02959749,osimertinib,trastuzumab-qyyp
NCT02959905,cyclophosphamide,cyclophosphamide
NCT02960646,cyclophosphamide,cyclophosphamide
NCT02962063,carboplatin AUC 2,trastuzumab-qyyp
NCT02962414,everolimus,trastuzumab-qyyp
NCT02963493,dexamethasone,dexamethasone
NCT02963831,cyclophosphamide,cyclophosphamide
NCT02965950,cyclophosphamide,cyclophosphamide
NCT02966756,venetoclax,trastuzumab-qyyp
NCT02966782,venetoclax,trastuzumab-qyyp
NCT02967289,irinotecan,irinotecan
NCT02968940,avelumab,trastuzumab-qyyp
NCT02969837,carfilzomib,velcade thalidomide dexamethasone
NCT02969837,dexamethasone,dexamethasone
NCT02969980,cyclophosphamide,cyclophosphamide
NCT02970448,temozolomide,temozolomide
NCT02971501,osimertinib,trastuzumab-qyyp
NCT02973113,EBVST Cells,...
NCT02973386,capecitabine adjuvant chemotherapy,trastuzumab-qyyp
NCT02973386,cisplatin concurrent chemotherapy,trastuzumab-qyyp
NCT02975882,temozolomide,temozolomide
NCT02977468,Merck 3475 Pembrolizumab,pembrolizumab and berahyaluronidase alfa-pmph
NCT02977494,dexamethasone,dexamethasone
NCT02977780,temozolomide,temozolomide
NCT02978495,cyclophosphamide,cyclophosphamide
NCT02980510,irinotecan,irinotecan
NCT02980562,bisacodyl,bisacodyl
NCT02980731,venetoclax,trastuzumab-qyyp
NCT02980965,cyclophosphamide,cyclophosphamide
NCT02981628,cyclophosphamide,cyclophosphamide
NCT02985125,everolimus,trastuzumab-qyyp
NCT02987400,venetoclax,trastuzumab-qyyp
NCT02990338,dexamethasone,dexamethasone
NCT02991482,vinorelbine,tlc178
NCT02991807,everolimus,trastuzumab-qyyp
NCT02992522,venetoclax,trastuzumab-qyyp
NCT02992743,cyclophosphamide,cyclophosphamide
NCT02992912,Anti-PD-L1 antibody atezolizumab,trastuzumab-qyyp
NCT02993523,venetoclax,trastuzumab-qyyp
NCT02996773,cyclophosphamide,cyclophosphamide
NCT02997501,azd9291,trastuzumab-qyyp
NCT02998528,vinorelbine,tlc178
NCT02999087,avelumab,trastuzumab-qyyp
NCT03000257,venetoclax,trastuzumab-qyyp
NCT03003520,cyclophosphamide,cyclophosphamide
NCT03003676,cyclophosphamide,cyclophosphamide
NCT03004287,carfilzomib,velcade thalidomide dexamethasone
NCT03004287,cyclophosphamide,cyclophosphamide
NCT03004287,dexamethasone,dexamethasone
NCT03004287,thalidomide,velcade thalidomide dexamethasone
NCT03006172,metformin,metformin
NCT03006302,cyclophosphamide,cyclophosphamide
NCT03006848,avelumab,trastuzumab-qyyp
NCT03007147,cyclophosphamide,cyclophosphamide
NCT03007147,dexamethasone,dexamethasone
NCT03007147,prednisolone,prednisolone
NCT03007992,vinorelbine,tlc178
NCT03008408,everolimus,trastuzumab-qyyp
NCT03008551,metformin,metformin
NCT03011671,temozolomide,temozolomide
NCT03012100,cyclophosphamide,cyclophosphamide
NCT03012672,mitoxantrone,mitoxantrone
NCT03012880,dexamethasone,dexamethasone
NCT03013504,cyclophosphamide,cyclophosphamide
NCT03013998,venetoclax,trastuzumab-qyyp
NCT03015324,Hydroxychloroquine,trastuzumab-qyyp
NCT03016377,cyclophosphamide,cyclophosphamide
NCT03017131,Cyclophosphamide,cyclophosphamide
NCT03017326,irinotecan,irinotecan
NCT03017404,cyclophosphamide,cyclophosphamide
NCT03017820,Cyclophosphamide,cyclophosphamide
NCT03017833,metformin,metformin
NCT03018223,cyclophosphamide,cyclophosphamide
NCT03020030,cyclophosphamide,cyclophosphamide
NCT03020030,dexamethasone,dexamethasone
NCT03023046,cyclophosphamide,cyclophosphamide
NCT03023878,dexamethasone,dexamethasone
NCT03025477,CC>0 - Cisplatin (IP,trastuzumab-qyyp
NCT03029234,carfilzomib,velcade thalidomide dexamethasone
NCT03029234,dexamethasone,dexamethasone
NCT03029403,cyclophosphamide,cyclophosphamide
NCT03030261,dexamethasone,dexamethasone
NCT03032406,Hydroxychloroquine,trastuzumab-qyyp
